Item,name,item_type,icon,price,rarity,
Item,Halibut,FISH,none,7,UNCOMMON,
Item,Albacore,FISH,none,8,UNCOMMON,
Item,Tilapia,FISH,none,8,UNCOMMON,
Item,Tuna,FISH,none,8,UNCOMMON,
Item,Salmon,FISH,none,10,UNCOMMON,
Item,Daffodil,FLOWER,none,1,COMMON,
Item,Dandelion,FLOWER,none,1,COMMON,
Item,Crocus,FLOWER,none,2,COMMON,
Item,Sweet Pea,FLOWER,none,2,COMMON,
Item,Black Bat Flower,FLOWER,none,50,EPIC,
Item,Chocolate Cosmos,FLOWER,none,50,EPIC,
Item,Flame Lily,FLOWER,none,50,EPIC,
Item,Ghost Orchid,FLOWER,none,50,EPIC,
Item,Jade Vine,FLOWER,none,50,EPIC,
Item,White Water Lily,FLOWER,none,50,EPIC,
Item,Wild Carnation,FLOWER,none,15,RARE,
Item,Wild Poppy,FLOWER,none,15,RARE,
Item,Wild Safflina,FLOWER,none,15,RARE,
Item,Wild Rose,FLOWER,none,20,RARE,
Item,Wild Tulip,FLOWER,none,20,RARE,
Item,Wild Violet,FLOWER,none,20,RARE,
Item,Amaranth,FLOWER,none,5,UNCOMMON,
Item,Nightshade,FLOWER,none,5,UNCOMMON,
Item,Thistle,FLOWER,none,5,UNCOMMON,
Item,Wild Lily,FLOWER,none,6,UNCOMMON,
Item,Wild Mum,FLOWER,none,6,UNCOMMON,
Item,Wild Hyacinth,FLOWER,none,8,UNCOMMON,
Item,Wild Pansy,FLOWER,none,8,UNCOMMON,
Item,Wild Sunflower,FLOWER,none,8,UNCOMMON,
Item,Parsley,HERB,none,2,COMMON,
Item,Rosemary,HERB,none,2,COMMON,
Item,Sage,HERB,none,2,COMMON,
Item,Thyme,HERB,none,2,COMMON,
Item,Kingsfoil,HERB,none,50,EPIC,
Item,Cinquefoil,HERB,none,10,RARE,
Item,Jewelweed,HERB,none,10,RARE,
Item,Sassafras,HERB,none,10,RARE,
Item,Mint,HERB,none,3,UNCOMMON,
Item,Sorrel,HERB,none,3,UNCOMMON,
Item,Tarragon,HERB,none,3,UNCOMMON,
Item,Garlic,HERB,none,4,UNCOMMON,
Item,Ginger,HERB,none,4,UNCOMMON,
Item,Chamomile,HERB,none,5,UNCOMMON,
Item,Echinacea,HERB,none,5,UNCOMMON,
Item,Mugwort,HERB,none,5,UNCOMMON,
Item,Basalt,MINERAL,none,2,COMMON,
Item,Granite,MINERAL,none,2,COMMON,
Item,Limestone,MINERAL,none,2,COMMON,
Item,Sandstone,MINERAL,none,2,COMMON,
Item,Quartz,MINERAL,none,4,COMMON,
Item,Soapstone,MINERAL,none,4,COMMON,
Item,Diamond,MINERAL,none,100,EPIC,
Item,Amethyst,MINERAL,none,35,RARE,
Item,Jade,MINERAL,none,35,RARE,
Item,Pearl,MINERAL,none,35,RARE,
Item,Topaz,MINERAL,none,35,RARE,
Item,Emerald,MINERAL,none,50,RARE,
Item,Ruby,MINERAL,none,50,RARE,
Item,Sapphire,MINERAL,none,50,RARE,
Item,Pyrite,MINERAL,none,1,UNCOMMON,
Item,Slate,MINERAL,none,5,UNCOMMON,
Item,Malachite,MINERAL,none,8,UNCOMMON,
Item,Marble,MINERAL,none,8,UNCOMMON,
Item,Neptunite,MINERAL,none,8,UNCOMMON,
Item,Hematite,MINERAL,none,10,UNCOMMON,
Item,Jasper,MINERAL,none,10,UNCOMMON,
Item,Obsidian,MINERAL,none,10,UNCOMMON,
Item,Opal,MINERAL,none,15,UNCOMMON,
Item,Aquamarine,MINERAL,none,25,UNCOMMON,
,,,,,,
,,,,,,
,,,,,,
Place,name,image,place_type,,,
Place,The Farm,places/idyllic-green-farm.png,FARM,,,
Place,The Town,places/old-timey-general-store.png,TOWN,,,
Place,The Forest,places/forest-unsplash.jpeg,FOREST,,,
Place,The Mountains,places/foothills-unsplash.jpeg,MOUNTAIN,,,
Place,The Beach,places/beach-unsplash.jpeg,BEACH,,,
,,,,,,
Bridge,fk__place__place_1,fk__place__place_2,direction_1,direction_2,,
Bridge,The Farm,The Forest,NORTH,SOUTH,,
Bridge,The Farm,The Town,WEST,EAST,,
Bridge,The Town,The Mountains,SOUTH,NORTH,,
Bridge,The Town,The Beach,NORTH,SOUTH,,
,,,,,,
Building,name,image,place_type,fk__place__surround,,
Building,lil farmhouse,default,HOME,The Farm,,
Building,mom and pop shop,default,SHOP,The Town,,
Building,town hall pub and grill,default,HOME,The Town,,
Building,charming victorian,default,HOME,The Town,,
Building,quite big log cabin,default,HOME,The Forest,,
Building,oak tree duplex,default,HOME,The Forest,,
Building,comfortable beach shack,default,HOME,The Beach,,
Building,house-sized clamshell,default,HOME,The Beach,,
Building,cozy cavern,default,HOME,The Mountains,,
Building,stonework chalet,default,HOME,The Mountains,,
Building,spoopy cave system,default,HOME,The Mountains,,
,,,,,,
Villager,name,full_name,friendliness,portrait,fk__building__home,goc_m2m__item_type_preference__item_type_preferences
Villager,Donatella,Donatella Fortlescue,7,default,charming victorian,"MINERAL: LIKE, ARTIFACT: LIKE, HERB: LIKE, SEED: LIKE, FISH: LIKE"
Villager,Vir,Vir Vipi,4,default,charming victorian,"FISH: LIKE, ARTIFACT: DISLIKE, MINERAL: DISLIKE"
Villager,Vida,Vida Vipi,3,default,charming victorian,"FLOWER: LOVE, HERB: LOVE, CROP: DISLIKE, FISH: HATE, ARTIFACT: HATE"
Villager,Joss,Joss Vipi,2,default,charming victorian,"CROP: DISLIKE, HERB: HATE, FLOWER: DISLIKE, BERRY: LOVE, MINERAL: LIKE, ARTIFACT: LIKE"
Villager,Samyel,Samyel Eschbringer,2,default,comfortable beach shack,"MINERAL: LOVE, FLOWER: DISLIKE"
Villager,Tourmaline,none,6,default,cozy cavern,"MINERAL: LOVE, HERB: LIKE, ARTIFACT: LIKE"
Villager,Daffodil,Daffodil V. Human,3,default,house-sized clamshell,"FLOWER: LOVE, MINERAL: LIKE, ARTIFACT: LIKE, FISH: HATE"
Villager,Angie,none,5,default,mom and pop shop,"MINERAL: LOVE, FLOWER: LOVE"
Villager,Dev,none,4,default,mom and pop shop,"ARTIFACT: LOVE, FLOWER: DISLIKE, BERRY: DISLIKE"
Villager,Trix,Trix the Rabbit,6,default,none,"HERB: LIKE, FISH: LIKE, MINERAL: LIKE, ARTIFACT: LIKE"
Villager,Damey,Damey Hoodiehome,5,default,oak tree duplex,"FLOWER: LOVE, HERB: LIKE"
Villager,Wren,none,3,default,oak tree duplex,"HERB: LOVE, MINERAL: DISLIKE, ARTIFACT: DISLIKE"
Villager,Bjölf,Bjölf Bjölfsen,1,default,quite big log cabin,"MINERAL: LIKE, HERB: LIKE, FISH: LIKE"
Villager,Bonbon,Bonbon X. Skellington,5,default,spoopy cave system,"ARTIFACT: LOVE, MINERAL: LIKE, HERB: LIKE, SEED: LIKE"
Villager,Zuck,Zuck (no relation),4,default,spoopy cave system,"FISH: LOVE,  FLOWER: HATE, HERB: HATE"
Villager,Bayla,Bayla Stoutstein,4,default,stonework chalet,"MINERAL: LOVE, ARTIFACT: LIKE, FLOWER: DISLIKE, HERB: DISLIKE, BERRY: DISLIKE"
Villager,Light,Hypermayor Light 1.1.5,4,default,town hall pub and grill,"MINERAL: LIKE, ARTIFACT: LIKE, FLOWER: DISLIKE, BERRY: DISLIKE, CROP: DISLIKE"
